disease;term_count
Ramsay Hunt syndrome type 1;10
Ramsay Hunt syndrome type 2;10
Ranula;7
Rapid eye movement sleep behavior disorder;22
Rapidly progressive glomerulonephritis;12
Rasmussen's encephalitis;10
Rat-bite fever;21
Raynaud syndrome;27
Reactive arthritis;26
Reactive attachment disorder;15
Reactive gastropathy;2
Reactive hypoglycemia;29
Receptive aphasia;16
Rectal foreign body;6
Rectal prolapse;34
Rectocele;10
Recurrent airway obstruction;8
Recurrent corneal erosion;8
Recurrent miscarriage;10
Recurrent pyogenic cholangitis;7
Red eye (medicine);12
Red-eye effect;4
Refeeding syndrome;12
Reflex syncope;23
Reflux nephropathy;1
Refractive error;3
Refsum disease;4
Reinke's edema;12
Reis–Bucklers corneal dystrophy;3
Relapsing fever;12
Relapsing polychondritis;58
Renal artery stenosis;5
Renal cell carcinoma;40
Renal colic;3
Renal cortical necrosis;11
Renal glycosuria;3
Renal medullary fibroma;1
Renal osteodystrophy;9
Renal papillary necrosis;16
Renal vein thrombosis;18
Renovascular hypertension;8
Repetitive strain injury;11
Respiratory acidosis;7
Respiratory alkalosis;7
Respiratory arrest;20
Respiratory disease;7
Respiratory failure;15
Respiratory tract infection;3
Restenosis;1
Restless legs syndrome;30
Restrictive cardiomyopathy;10
Restrictive lung disease;9
Reticular dysgenesis;11
Retinal detachment;7
Retinal haemorrhage;4
Retinal migraine;11
Retinitis;4
Retinitis pigmentosa;20
Retinoblastoma;12
Retinopathy;5
Retinopathy of prematurity;5
Retrograde amnesia;16
Retrograde ejaculation;8
Retrolisthesis;7
Retroperitoneal fibrosis;4
Retropharyngeal abscess;11
Retroverted uterus;6
Rett syndrome;30
Reversible cerebral vasoconstriction syndrome;11
Reye syndrome;19
Rh disease;8
Rhabdomyolysis;53
Rhabdomyosarcoma;6
Rheumatic fever;23
Rheumatism;2
Rheumatoid arthritis;55
Rheumatoid lung disease;10
Rheumatoid pleuritis;2
Rheumatology;3
Rhinitis medicamentosa;6
Rhinophyma;6
Rhinoscleroma;9
Rhinosporidiosis;12
Rhizomelic chondrodysplasia punctata;4
Rhythmic movement disorder;20
Rib fracture;5
Ribose-5-phosphate isomerase deficiency;6
Rickets;17
Rickettsialpox;4
Rickettsiosis;2
Rift Valley fever;14
Right axis deviation;7
Right bundle branch block;8
Right ventricular hypertrophy;8
Ring chromosome 20 syndrome;9
Ringbone;2
Roberts syndrome;13
Robinow syndrome;4
Rocky Mountain spotted fever;18
Rolandic epilepsy;24
Rosacea;25
Rosai–Dorfman disease;4
Roseola;10
Ross River fever;25
Rosselli–Gulienetti syndrome;3
Rotator cuff tear;32
Rotaviral gastroenteritis;7
Rothmund–Thomson syndrome;6
Rotor syndrome;4
Round ligament pain;17
Roussy–Lévy syndrome;5
Rubella;24
Rubeosis iridis;1
Rubinstein–Taybi syndrome;8
Rud syndrome;7
Rumination syndrome;21
Runner's diarrhea;2
Ruzicka Goerz Anton syndrome;2
S-form;1
Saber shin;1
Sack–Barabas syndrome;5
Sacrococcygeal teratoma;11
Sacroiliitis;7
Saethre–Chotzen syndrome;24
Sakati–Nyhan–Tisdale syndrome;4
Salicylate poisoning;23
Salicylate sensitivity;26
Salivary duct carcinoma;4
Salivary duct stricture;4
Salivary gland tumour;11
Salmon poisoning disease;5
Salmonellosis;19
Salpingitis;10
Salpingitis isthmica nodosa;2
Samoyed hereditary glomerulopathy;6
Sandhoff disease;21
Sandifer syndrome;4
Sanfilippo syndrome;18
Sanitary sewer overflow;1
SAPHO syndrome;1
Sarcoidosis;70
Sarcoma;1
Sarcopenia;5
Sarcopenic obesity;1
Saree cancer;6
Savant syndrome;2
Say–Meyer syndrome;8
Scabies;9
Scalp–ear–nipple syndrome;1
Scanning speech;7
Scaphoid fracture;3
Scapular fracture;5
Scarlet fever;44
Scarring hair loss;12
Schamberg disease;16
Schatzki ring;6
Scheuermann's disease;5
Schindler disease;5
Schistosomiasis;39
Schizencephaly;14
Schizoaffective disorder;42
Schizoid personality disorder;30
Schizophrenia;48
Schizophreniform disorder;1
Schizotypal personality disorder;18
Schmorl's nodes;5
Schnitzler syndrome;20
Schwannomatosis;2
Sciatica;13
Scimitar syndrome;2
Scintillating scotoma;7
Scleredema;2
Scleritis;14
Scleroderma;40
Scleromyositis;4
Scoliosis;12
Scombroid food poisoning;20
Scotoma;14
Scrub typhus;16
Scurvy;14
Sea star wasting disease;3
Seabather's eruption;3
Seasonal affective disorder;15
Seaver Cassidy syndrome;3
Sebaceous cyst;4
Seborrheic keratosis;6
Seborrhoeic dermatitis;19
Seckel syndrome;3
Second-degree atrioventricular block;3
Secondary hyperparathyroidism;3
Secondary hypertension;4
Secondary sclerosing cholangitis;2
Segawa Syndrome;17
Selective immunoglobulin A deficiency;5
Selective mutism;9
Selenium deficiency;6
Self-defeating personality disorder;8
Self-harm;10
Self-neglect;2
Seminoma;8
Sensorineural hearing loss;37
Sensory processing disorder;6
Separated shoulder;7
Separation anxiety disorder;20
Sepsis;43
Septic arthritis;33
Septic shock;19
Septo-optic dysplasia;11
Serositis;1
Serotonin syndrome;36
Serpentine fibula-polycystic kidney syndrome;1
Serpiginous choroiditis;2
Sertoli cell tumour;5
Serum sickness;13
Sessile serrated adenoma;1
Sever's disease;4
Severe acute respiratory syndrome;9
Sex cord–gonadal stromal tumour;2
Sexual dysfunction;13
Sexual fetishism;4
Sexual headache;5
Sexually induced sneezing;1
Sexually transmitted infection;33
Sézary disease;5
Sheehan's syndrome;19
Shift work sleep disorder;8
Shigellosis;11
Shin splints;14
Shingles;29
Shock (circulatory);43
Short bowel syndrome;17
Short QT syndrome;4
Short stature;5
SHORT syndrome;5
Short-chain acyl-coenzyme A dehydrogenase deficiency;1
Shoulder dystocia;2
Shoulder presentation;2
Shwachman–Diamond syndrome;9
Sialidosis;16
Sialolithiasis;12
Sick sinus syndrome;17
Sickle cell disease;23
Sickle cell trait;1
Sickle cell-beta thalassemia;1
Sickle-cell disease;23
Side stitch;6
Sidebone;2
Sideroblastic anemia;14
Signet ring cell carcinoma;1
Silent stroke;2
Silicosis;23
Silver–Russell syndrome;9
Simpson–Golabi–Behmel syndrome;11
Simultanagnosia;4
Sinoatrial block;5
Sinonasal undifferentiated carcinoma;4
Sinus tachycardia;23
Sinusitis;41
Sitosterolemia;7
Situs inversus;9
Sixth nerve palsy;14
Sjögren syndrome;27
Sjögren–Larsson syndrome;4
Skeletal fluorosis;10
Skin cancer;13
Skin infection;3
Skin tag;2
SLAP tear;7
Sleep apnea;11
Sleep deprivation;15
Sleep sex;14
Sleepwalking;21
Slipped capital femoral epiphysis;9
Sly syndrome;8
Small fiber peripheral neuropathy;19
Small for gestational age;1
Small intestinal bacterial overgrowth;20
Small-cell carcinoma;6
Smallpox;31
Smith–Fineman–Myers syndrome;12
Smith–Lemli–Opitz syndrome;13
Smith–Magenis syndrome;19
Smoke inhalation;7
Snakebite;28
Snap oversteer;1
Snapping hip syndrome;5
Sneddon's syndrome;9
Social anxiety disorder;34
Sodoku;1
Soft tissue injury;7
Soft-tissue sarcoma;8
Software brittleness;2
Solar urticaria;23
Solitary pulmonary nodule;12
Somatic symptom disorder;3
Somatosensory disorder;2
Somnolence;13
Sotos syndrome;11
Southeast Asian haze;1
Southern corn leaf blight;1
Southern tick-associated rash illness;5
Soy allergy;28
Spasmodic dysphonia;15
Spasmodic torticollis;11
Spastic diplegia;6
Spasticity;20
Spectrophobia;2
Speech disorder;5
Spermatocele;2
Sphenoid wing meningioma;5
Sphincter of Oddi dysfunction;2
Spider angioma;2
Spider bite;7
Spina bifida;12
Spinal and bulbar muscular atrophy;12
Spinal cord compression;11
Spinal cord injury;48
Spinal disc herniation;30
Spinal muscular atrophies;3
Spinal muscular atrophy;14
Spinal stenosis;21
Spinal tumor;10
Spinocerebellar ataxia;31
Spinocerebellar ataxia type 6;5
Spinocerebellar ataxia type-13;3
Spins;8
Splenic infarction;6
Splenic injury;14
Splenic marginal zone lymphoma;4
Splenomegaly;16
Spondylocostal dysostosis;3
Spondyloepimetaphyseal dysplasia, Pakistani type;6
Spondyloepimetaphyseal dysplasia, Strudwick type;4
Spondyloepiphyseal dysplasia congenita;5
Spondylolisthesis;12
Spondylolysis;9
Spondylosis;7
Spontaneous bacterial peritonitis;11
Spontaneous cerebrospinal fluid leak;34
Spontaneous coronary artery dissection;4
Sporotrichosis;2
Spot blotch (barley);2
Spot blotch (wheat);2
Sprain;4
Sprained ankle;7
Squamous cell carcinoma;4
Squamous-cell thyroid carcinoma;5
Squib load;2
St. Elmo's fire;1
Staphylococcal enteritis;11
Staphylococcal scalded skin syndrome;6
Stargardt disease;6
Starvation;21
Stasis dermatitis;10
Status epilepticus;16
Steatorrhea;10
Stem rust;2
Stenosing tenosynovitis;7
Stenosis;5
Stenosis of uterine cervix;5
Stereotypic movement disorder;9
Sternal fracture;6
Steroid rosacea;4
Stevens–Johnson syndrome;15
Stickler syndrome;12
Stiff person syndrome;30
Stiff-Person syndrome;30
Stillbirth;15
Stimmler syndrome;4
Stimulant psychosis;5
Stomach cancer;36
Stomatitis;25
Stomatitis nicotina;10
Strabismus;19
Strain (injury);2
Strangles;8
Streptococcal pharyngitis;21
Stress fracture;8
Stress in medical students;4
Stress ulcer;8
Stretch marks;8
Stroke;56
Strongyloidiasis;11
Stunted growth;7
Stupor;5
Sturge–Weber syndrome;10
Stuttering;19
Stye;12
Subacromial bursitis;10
Subacute bacterial endocarditis;7
Subacute combined degeneration of spinal cord;12
Subacute sclerosing panencephalitis;7
Subarachnoid hemorrhage;29
Subclavian steal syndrome;5
Subconjunctival hemorrhage;9
Subcortical ischemic depression;20
Subcutaneous emphysema;12
Subdural hematoma;26
Subdural hygroma;5
Subependymal giant cell astrocytoma;9
Subependymoma;3
Subgaleal hemorrhage;5
Subinvolution;7
Subprime mortgage crisis;16
Substance abuse;11
Substance dependence;3
Substance-induced psychosis;3
Substance-related disorder;4
Subungual hematoma;4
Succinic semialdehyde dehydrogenase deficiency;28
Sucrose intolerance;14
Sudden acquired retinal degeneration (disease);7
Sudden acquired retinal degeneration syndrome;7
Sudden arrhythmic death syndrome;5
Suicidal ideation;12
Suicide in South Korea;2
Sulfhemoglobinemia;2
Sulfuric acid poisoning;5
Sunburn;19
Sundowning;15
Superficial spreading melanoma;1
Superheating;1
Superior canal dehiscence syndrome;13
Superior mesenteric artery syndrome;24
Superior oblique myokymia;1
Superior vena cava syndrome;13
Supraventricular tachycardia;15
Surra;2
Susac's syndrome;17
Suspension trauma;11
Susto;6
Sweating sickness;14
Sweet itch;5
Swelling (medical);2
Swimmer's itch;5
Swimming-induced pulmonary edema;4
Swine influenza;27
Sydenham's chorea;23
Sympathetic ophthalmia;6
Symphysis pubis dysfunction;7
Syndrome of inappropriate antidiuretic hormone secretion;38
Syndrome of subjective doubles;11
Synesthesia;3
Synkinesis;2
Synovial chondromatosis;8
Synovial osteochondromatosis;13
Synovial sarcoma;6
Synovitis;5
Syphilis;33
Syringoma;1
Syringomyelia;20
Systemic lupus erythematosus;58
Systemic primary carnitine deficiency;7
Systemic scleroderma;31
Systemic-onset juvenile idiopathic arthritis;8
T-cell prolymphocytic leukemia;1
Tabes dorsalis;19
Tachycardia-induced cardiomyopathy;16
Taeniasis;24
Taijin kyofusho;8
Takayasu's arteritis;6
Takotsubo cardiomyopathy;20
Talon cusp;2
Tangier disease;3
Tapeworm infection;8
TAR syndrome;4
Tardive dyskinesia;15
Tarlov cyst;32
Tarsal tunnel syndrome;20
Tay–Sachs disease;17
Tear of meniscus;8
Telangiectasia;12
Temporal lobe epilepsy;33
Temporomandibular joint dysfunction;43
Tendinitis;6
Tendinosis;8
Tennis elbow;12
Tenosynovitis;3
Tension headache;13
Teratoma;15
Testicular cancer;20
Testicular torsion;8
Tetanus;30
Tethered spinal cord syndrome;25
Tetralogy of Fallot;11
Tetraplegia;15
Tetrasomy X;12
Thalassemia;6
Thanatophoric dysplasia;1
Theobromine poisoning;7
Thiamine deficiency;47
Thin basement membrane disease;12
Third-degree atrioventricular block;7
Thoracic aorta injury;1
Thoracic aortic aneurysm;2
Thoracic outlet syndrome;16
Thromboangiitis obliterans;15
Thrombocythemia;7
Thrombocytopenia;20
Thrombocytopenic purpura;1
Thrombocytosis;13
Thrombophilia;30
Thrombophlebitis;11
Thrombosis;47
Thrombotic microangiopathy;16
Thrombotic thrombocytopenic purpura;23
Thunderclap headache;21
Thygeson's superficial punctate keratopathy;5
Thymoma;13
Thyroglossal cyst;19
Thyroid adenoma;5
Thyroid cancer;6
Thyroid disease;34
Thyroid dyshormonogenesis;1
Thyroid hormone resistance;4
Thyroid neoplasm;4
Thyroid nodule;13
Thyroid storm;35
Thyroiditis;21
Thyrotoxic myopathy;18
Thyrotoxic periodic paralysis;25
Tibial plateau fracture;5
Tic;20
Tic disorder;5
Tick paralysis;8
Tick-borne encephalitis;5
Tietze syndrome;19
Timothy syndrome;5
Tinea barbae;4
Tinea capitis;11
Tinea corporis;2
Tinea cruris;9
Tinea versicolor;5
Tinnitus;37
Tip of the tongue;2
TNF receptor associated periodic syndrome;1
Todd's paresis;14
Toe walking;1
Tolosa–Hunt syndrome;15
Tonsillitis;26
Tooth decay;20
Tooth mobility;3
Toothache;48
Torsades de pointes;16
Torsion dystonia;5
Torticollis;28
Tourette syndrome;18
Townes–Brocks syndrome;8
Toxic and nutritional optic neuropathy;12
Toxic encephalopathy;16
Toxic epidermal necrolysis;16
Toxic megacolon;11
Toxic multinodular goitre;16
Toxic shock syndrome;18
Toxocariasis;38
Toxoplasmosis;34
Tracheitis;19
Tracheobronchial injury;16
Tracheobronchomalacia;6
Tracheoesophageal fistula;10
Trachoma;14
Traction alopecia;3
Trade winds;2
Traffic collision;10
Traffic congestion;1
Transaldolase deficiency;1
Transfusion associated circulatory overload;7
Transfusion-associated graft versus host disease;1
Transfusion-associated graft-versus-host disease;1
Transfusion-related acute lung injury;7
Transient acantholytic dermatosis;7
Transient global amnesia;28
Transient ischemic attack;33
Transient synovitis;11
Transient tachypnea of the newborn;1
Transitional cell carcinoma;1
Transmissible mink encephalopathy;1
Transposition of the great vessels;1
Transverse myelitis;18
Traumatic aortic rupture;16
Traumatic asphyxia;3
Traumatic brain injury;37
Traveler's diarrhea;11
Treacher Collins syndrome;17
Tree nut allergy;5
Trench fever;7
Trench foot;8
Triangular alopecia;1
Trichilemmal cyst;1
Trichinosis;23
Tricho-hepato-enteric syndrome;11
Trichobacteriosis axillaris;4
Trichodysplasia spinulosa;7
Trichomoniasis;6
Trichomycosis axillaris;1
Trichophagia;3
Trichorrhexis nodosa;2
Trichothiodystrophy;5
Trichotillomania;9
Tricho–dento–osseous syndrome;5
Trichuriasis;15
Tricuspid atresia;7
Tricuspid insufficiency;11
Tricuspid valve stenosis;3
Tricyclic antidepressant overdose;17
Trifascicular block;3
Trigeminal neuralgia;17
Trigger finger;4
Trigonocephaly;4
Trimethylaminuria;4
Triple X syndrome;8
Triple-A syndrome;5
Triploid syndrome;5
Trochleitis;12
Tropical spastic paraparesis;9
Tropical sprue;25
Tropical ulcer;6
True hermaphroditism;1
Trypanosomiasis;10
Trypophobia;14
Tubal factor infertility;7
Tuberculosis;19
Tuberculous cervical lymphadenitis;9
Tuberculous dactylitis;3
Tuberculous lymphadenitis;5
Tuberculous meningitis;6
Tuberous sclerosis;31
Tubo-ovarian abscess;8
Tubulointerstitial nephritis and uveitis;5
Tularemia;8
Tumor lysis syndrome;17
Tumors of the hematopoietic and lymphoid tissues;8
Tungiasis;7
Tunnel vision;17
Turner syndrome;35
Twin-to-twin transfusion syndrome;6
Tympanosclerosis;4
Type I tyrosinemia;9
Type III hypersensitivity;6
Typhoid fever;33
Typhus;5
Typical pulmonary carcinoid tumour;3
Uhl anomaly;3
Ulcerative colitis;50
Ullrich congenital muscular dystrophy;2
Ulnar collateral ligament injury of the thumb;7
Ulnar nerve entrapment;17
Ulnar neuropathy;9
Umbilical cord prolapse;3
Umbilical hernia;10
Uncombable hair syndrome;2
Undifferentiated connective tissue disease;9
Undifferentiated pleomorphic sarcoma;4
Unhappy triad;2
Unicornuate uterus;8
Unilateral hearing loss;3
United States military veteran suicide;2
Unstable angina;1
Upper airway resistance syndrome;8
Upper gastrointestinal bleeding;21
Upper motor neuron lesion;9
Upper respiratory tract infection;33
Upshaw–Schulman syndrome;26
Urachal cancer;6
Urachal cyst;5
Urbach–Wiethe disease;16
Uremia;61
Uremic pericarditis;3
Ureterocele;7
Urethral cancer;4
Urethral stricture;7
Urethral syndrome;4
Urethritis;5
Urinary incontinence;31
Urinary tract infection;27
Urinoma;5
Urocanic aciduria;2
Urofacial syndrome;1
Urticaria pigmentosa;10
Urticarial vasculitis;6
Urushiol-induced contact dermatitis;8
Usher syndrome;13
Usual interstitial pneumonia;3
Uterine fibroid;19
Uterine incarceration;3
Uterine malformation;4
Uterine rupture;18
Uterine septum;8
Uterine serous carcinoma;4
Uterus didelphys;11
Utilization behavior;8
Uveitis;22
Vaccine-associated sarcoma;5
VACTERL association;8
Vaginal atresia;14
Vaginal cancer;13
Vaginal yeast infection;17
Vaginismus;17
Vaginitis;20
Van der Woude syndrome;6
Van Wyk and Grumbach syndrome;1
Variant angina;18
Varicocele;5
Varicose veins;25
Variegate porphyria;11
Vasa praevia;5
Vascular dementia;40
Vascular disease;1
Vascular ring;7
Vasculitis;37
Vasoconstriction;5
Vasoplegic syndrome;2
Velopharyngeal inadequacy;1
Venezuelan hemorrhagic fever;3
Venous leak;3
Venous thrombosis;6
Venous ulcer;15
Ventilator-associated lung injury;2
Ventilator-associated pneumonia;13
Ventricular aneurysm;10
Ventricular fibrillation;8
Ventricular hypertrophy;11
Ventricular septal defect;15
Ventricular tachycardia;14
Ventriculitis;14
Vernal keratoconjunctivitis;5
Verrucous carcinoma;4
Vertebral artery dissection;20
Vertebrobasilar insufficiency;13
Vertical root fracture;1
Vertically transmitted infection;10
Very long-chain acyl-coenzyme A dehydrogenase deficiency;11
Vesicointestinal fistula;4
Vesicoureteral reflux;16
Vestibular schwannoma;19
Vestibulocerebellar syndrome;13
Vici syndrome;16
Villoglandular adenocarcinoma of the cervix;6
VIPoma;4
Viral hemorrhagic fever;15
Viral hemorrhagic septicemia;13
Viral meningitis;21
Viral pneumonia;6
Visceral leishmaniasis;12
Visual extinction;1
Visual impairment;20
Visual release hallucinations;11
Visuospatial dysgnosia;6
Vitamin A deficiency;13
Vitamin B12 deficiency;46
Vitamin B12 deficiency anemia;33
Vitamin D deficiency;13
Vitamin E deficiency;13
Vitamin K deficiency;8
Vitelliform macular dystrophy;2
Vitiligo;14
Vitreous hemorrhage;2
Vocal cord dysfunction;36
Vocal cord nodule;7
Vocal cord paresis;32
Vocal fold nodule;7
Vocal fold paresis;32
Vocal loading;1
Volkmann's contracture;4
Volvulus;15
Von Hippel–Lindau disease;8
Von Willebrand disease;15
Vulvar cancer;14
Vulvar intraepithelial neoplasia;4
Vulvodynia;13
Waardenburg syndrome;4
WAGR syndrome;2
Waldenström's macroglobulinemia;24
Walker–Warburg syndrome;1
Wandering spleen;6
Warfarin necrosis;1
Warm antibody autoimmune hemolytic anemia;3
Wart;3
Waterhouse–Friderichsen syndrome;27
Weaver syndrome;15
Webbed neck;1
Webbed toes;2
Weight loss;27
Weissenbacher–Zweymüller syndrome;8
Werner syndrome;1
Wernicke encephalopathy;58
Wernicke's encephalopathy;58
Wernicke–Korsakoff syndrome;40
West Nile fever;39
Wet-tail;4
Wheat allergy;26
Wheat leaf rust;2
Wheat yellow rust;1
Whiplash (medicine);15
Whipple's disease;30
White coat hypertension;4
White sponge nevus;1
White-nose syndrome;8
Whooping cough;10
Williams syndrome;41
Williams–Campbell syndrome;3
Wilms' tumor;8
Wilson's disease;49
Wilson–Turner syndrome;14
Winchester syndrome;10
Winged scapula;11
Wiskott–Aldrich syndrome;9
Wissler's syndrome;6
Witch's broom;1
Wobbly hedgehog syndrome;1
Wolcott–Rallison syndrome;5
Wolff–Parkinson–White syndrome;10
Wolfram syndrome;4
Wolf–Hirschhorn syndrome;9
Wound;4
Wound dehiscence;5
Wrist drop;11
Wrist osteoarthritis;9
Writer's cramp;15
Wunderlich syndrome;5
X-linked adrenal hypoplasia congenita;7
X-linked agammaglobulinemia;5
X-linked congenital stationary night blindness;6
X-linked dystonia parkinsonism;4
X-linked hypophosphatemia;3
X-linked ichthyosis;1
X-linked reticulate pigmentary disorder;11
X-linked severe combined immunodeficiency;17
Xanthinuria;3
Xeroderma pigmentosum;6
Xerophthalmia;3
Xerostomia;32
XX gonadal dysgenesis;2
XX male syndrome;7
XY gonadal dysgenesis;2
XYY syndrome;7
Yaws;8
Yellow fever;24
Yellow nail syndrome;7
Yellow-cedar decline;2
Yersiniosis;8
Young–Madders syndrome;1
Zadik–Barak–Levin syndrome;10
Zeaspora;7
Zellweger syndrome;5
Zenker's diverticulum;9
Zenker's paralysis;16
Zieve's syndrome;3
Zika fever;26
Zimmermann–Laband syndrome;4
Zinc deficiency;36
Zinc toxicity;6
Zollinger–Ellison syndrome;11
Zoonosis;1
Zunich–Kaye syndrome;3
Zygomaticomaxillary complex fracture;5
