cui;medical_term;semantic_types
C1274377;Vibrio vulnificus infection;dsyn
C1274514;Proximal subungual onychomycosis;dsyn
C1274535;Acute papular onchodermatitis;dsyn
C1274536;Chronic papular onchodermatitis;dsyn
C1274594;Lichenoid actinic keratosis;dsyn
C1274646;Ochronosis due to hydroquinone;dsyn
C1274648;Segmental vitiligo;dsyn
C1274651;Hypopigmented scar;dsyn
C1274700;Postmenopausal frontal fibrosing alopecia;dsyn
C1274708;Central centrifugal cicatricial alopecia;dsyn
C1274727;Acne nodule;dsyn
C1274728;Atrophic acne scar;dsyn
C1274729;Ice-pick acne scar;dsyn
C1274743;Palmoplantar hyperhidrosis;dsyn
C1274772;Panniculitis due to alpha-1 anti-trypsin deficiency;dsyn
C1274874;Triangular alopecia;cgab
C1274879;Port-wine stain with oculocutaneous melanosis;cgab
C1274924;Cutaneous allodynia;sosy
C1274952;Drug-induced pemphigus vulgaris;dsyn
C1274978;Rosacea due to topical corticosteroid;dsyn
C1274981;Coumarin necrosis;dsyn
C1275078;Carpenter's syndrome;dsyn
C1275079;Acrocephalopolysyndactyly type III;cgab,dsyn
C1275081;Cardio-facio-cutaneous syndrome;cgab
C1275114;Epidermolysis bullosa pruriginosa;dsyn
C1275126;TNF receptor-associated periodic fever syndrome (TRAPS);cgab
C1275350;Suspected hematological malignancy;fndg
C1275397;Loss of color (finding);fndg
C1275454;Lymphedema of lower extremity;dsyn
C1275491;New York Heart Association Classification;inpr
C1275592;Funisitis (disorder);dsyn
C1275676;Non-motile;lbtr
C1275678;Tear meniscus;fndg
C1275684;Meibomian gland dysfunction;dsyn
C1275731;Finding of serum creatine kinase level (finding);fndg
C1275742;Peptic ulcer of stomach;dsyn
C1275743;Co-morbid conditions;fndg
C1275808;Congenital central hypoventilation;dsyn
C1275836;D - transposition of the great vessels;cgab,dsyn
C1275943;Allergen specific IgE antibody measurement, FAST type;lbpr
C1275974;Splenic hamartoma;dsyn
C1275991;E test (procedure);diap
C1276001;Inferior oblique overaction;patf
C1276003;Unilateral superior oblique palsy;dsyn
C1276004;Bilateral superior oblique palsy;dsyn
C1276035;Pena-Shokeir syndrome type I;cgab,dsyn
C1276036;Plasma bicarbonate measurement;lbpr
C1276055;Ankle brachial pressure index (procedure);diap
C1276092;Chronic hand eczema;dsyn
C1276096;Allergic contact gingivostomatitis;dsyn
C1276118;Episodic urticaria;dsyn
C1276801;Infection due to Erysipelothrix rhusiopathiae (disorder);dsyn
C1277187;Left ventricular systolic dysfunction;dsyn
C1277199;Normal mood;fndg
C1277200;Normal concentration;fndg
C1277226;Drug indicated;fndg
C1277241;Delayed myelination;fndg
C1277291;Stroke risk;inpr
C1277295;Cough with fever;sosy
C1277584;Gravida 6;fndg
C1277590;Unexplained cough;fndg
C1277645;Persistent mastalgia;sosy
C1277690;Coronary heart disease risk;inpr
C1277691;Pack years;inpr
C1277709;Transferrin saturation measurement;lbpr
C1277719;Clotting screening test;lbpr
C1277720;Thrombophilia screening;lbpr
C1277725;Measurement of acetylcholine receptor antibody;lbpr
C1277938;Measurement of serum thyroid stimulating hormone;lbpr
C1277972;Serum prolactin measurement;lbpr
C1278023;Plasma glucagon measurement;lbpr
C1278039;Serum total bilirubin measurement;lbpr
C1278052;Serum lactate dehydrogenase measurement;lbpr
C1278067;Plasma very long chain fatty acid measurement;lbpr
C1278073;Plasma lipid measurement;lbpr
C1278075;Serum alanine measurement;lbpr
C1278108;Plasma salicylate measurement;lbpr
C1278135;Serum bile acid measurement;lbpr
C1278161;Plasma amino acid measurement;lbpr
C1278172;Plasma phenylalanine measurement;lbpr
C1278177;Plasma tryptophan measurement;lbpr
C1278220;Deteriorating renal function;lbtr
C1278293;Urine sample volume measurement;lbpr
C1279412;periodic paralysis (finding);dsyn
C1279420;Anxiety neurosis (finding);mobd
C1279481;X-linked lymphopenic agammaglobulinemia;dsyn
C1279621;Tinea profunda (disorder);dsyn
C1279682;Clever;fndg
C1279733;Appropriate growth;fndg
C1279889;Deterioration of status;fndg
C1279945;Acute interstitial pneumonia;dsyn
C1280008;Abdominal angina;sosy
C1280433;Lipoatrophy;dsyn
C1280474;Transfer factor, NOS;fndg
C1280751;Focal hypertrophy;patf
C1281300;Vascular degeneration;dsyn
C1281899;Plasma cortisol measurement;lbpr
C1281902;Total thyroxine measurement;lbpr
C1281905;At risk of disease;fndg
C1281931;Obstruction of nasolacrimal duct;fndg
C1281939;Uveitic glaucoma;dsyn
C1282208;Preseptal cellulitis;dsyn
C1282231;Endogenous endophthalmitis;dsyn
C1282310;Intermittent pain;sosy
C1282322;Acute pelvic pain;sosy
C1282359;Ocular cicatricial pemphigoid;dsyn
C1282461;Acquired nystagmus;dsyn
C1282536;Contrast swallow;diap
C1282538;Contrast enema;diap
C1282548;Examination by method;diap
C1282609;Granulocytosis;dsyn
C1282684;Addition-deletion mutation;lbtr
C1282719;Incomplete ossification;fndg
C1282921;Cotard's syndrome;mobd
C1282952;Enthesitis;dsyn
C1282977;Candidal perionyxis;dsyn
C1282988;Nuclear sclerotic cataract;dsyn
C1283004;PO2 measurement;lbpr
C1283048;Total iron binding capacity measurement;lbpr
C1283271;Lymphocytic gastritis;dsyn
C1285162;Degenerative disorder;dsyn
C1285175;Autoimmune connective tissue disorder;dsyn
C1285355;Mendelian disorders;dsyn
C1285497;Entrapment (morphologic abnormality);fndg
C1285521;Hemi;inpr
C1285572;Phenotype determination;lbpr
C1285573;Genotype determination;lbpr
C1285577;Acute confusional state;fndg
C1285654;Memory performance;menp
C1286159;Movement of abdomen;fndg
C1286235;Integrity of skin;fndg
C1286298;Position of fetus;fndg
C1286370;Finding of odor of urine;fndg
C1286384;Employment detail;fndg
C1286385;Performance at work;fndg
C1286421;Fetal presentation finding;fndg
C1286635;Nerve conduction - finding;fndg
C1287242;Finding of antibody titer;lbtr
C1287251;Finding of serum vitamin B12 level;lbtr
C1287255;Hemoglobin variant observation;lbtr
C1287267;Finding of platelet count;lbtr
C1287281;Finding of glucose concentration, dipstick;lbtr
C1287298;Urine volume finding;fndg
C1287341;Poison level;lbtr
C1287346;Finding of urine electrolyte levels;fndg
C1287347;Finding of serum electrolyte levels;fndg
C1287349;Finding of enzyme level;lbtr
C1287351;Finding of liver enzyme levels;lbtr
C1287355;Finding of hormone level;lbtr
C1287361;Finding of female sex hormones - serum level;lbtr
C1287365;Bilirubin level;lbtr
C1287366;Finding of serum bilirubin level;lbtr
C1287375;Finding of serum alpha-fetoprotein level;lbtr
C1287401;Biopsy finding;lbtr
C1287654;Cough reflex finding;fndg
C1287725;Swallowing reflex finding;fndg
C1287998;Abdominal reflex finding;fndg
C1288065;Ankle reflex finding;fndg
C1288071;Plantar reflex finding;fndg
C1288265;Ciliary block glaucoma;dsyn
C1288279;Lesion of ulnar nerve;dsyn
C1288283;Atrophoderma maculatum;dsyn
C1290009;Chronic disease of skin;dsyn
C1290044;Exudative eczema;dsyn
C1290140;Post-streptococcal reactive arthritis;dsyn
C1290145;Disorder of cervical spine;dsyn
C1290161;Infected bursa;dsyn
C1290342;Acute atelectasis;dsyn
C1290343;Chronic atelectasis;dsyn
C1290344;Nonspecific interstitial pneumonia;dsyn
C1290384;Structural disorder of heart;anab,dsyn
C1290392;Aortic fistula;dsyn
C1290398;Cerebral arterial aneurysm;dsyn
C1290557;Partially impacted tooth;cgab
C1290576;Congenital anomaly of palate;cgab
C1290632;Caries of infancy associated with bottle feeding;dsyn
C1290646;Acute apical abscess;dsyn
C1290665;Pericoronal abscess;dsyn
C1290708;Osteomyelitis of mandible;dsyn
C1290713;Buccal exostosis;dsyn
C1290755;Abfraction;dsyn
C1290772;Uremic stomatitis;patf
C1290773;Contact stomatitis;patf
C1290774;Stomatitis areata migrans;patf
C1290807;Diarrheal disorder;dsyn
C1290820;Hyperplastic thrush;dsyn
C1290841;Acute nervous system disorder;dsyn
C1290857;Disorder of face;dsyn
C1290862;Disorder of hip region;dsyn
C1290864;Disorder of abdomen;dsyn
C1290871;Disorder of hand;dsyn
C1290872;Disorder of wrist region;dsyn
C1290884;Inflammatory disorder;dsyn
C1290886;Chronic inflammatory disorder;dsyn
C1290905;Discrepancy;fndg
C1290916;Radiologic finding;fndg
C1290922;Baseline state;fndg
C1290981;Abnormal body temperature;fndg
C1290992;Smooth muscle spasm;fndg
C1290999;Froment's sign;sosy
C1291034;Heart murmur quality, blowing;fndg
C1291077;Abdominal bloating;sosy
C1291082;Increased choline;fndg
C1291091;Increased orotic acid;fndg
C1291096;Increased carbohydrate;fndg
C1291098;Increased fructose;fndg
C1291108;Increased glycogen;fndg
C1291230;Deficiency of 3-hydroxyacyl-CoA dehydrogenase;dsyn
C1291312;Deficiency of oxidase;dsyn
C1291314;Deficiency of monooxygenase;dsyn
C1291329;Deficiency of transaldolase;dsyn
C1291490;Deficiency of hyaluronidase;dsyn
C1291557;Deficiency of lyase;dsyn
C1291658;Urinary system finding;fndg
C1291704;Thelarche finding;fndg
C1291706;Psychogenic factor;fndg
C1291711;Parafunctional habit;fndg
C1291712;Don Juanism;fndg
C1291723;Male sexual finding;fndg
C1291724;Female sexual finding;fndg
C1291727;Bilateral paresis;fndg
C1291734;Cranial nerve finding;fndg
C1291746;Normal estrogen level;fndg
C1291747;Increased estrogen level;fndg
C1291748;Decreased estrogen level;fndg
C1291764;Immune system finding;fndg
C1293120;Sounding;lbpr
C1293836;Physical examination maneuver;diap
C1293898;Head up;diap
C1293900;Hand grip;diap
C1293901;Exercise challenge;diap
C1293918;Manual laboratory procedure;lbpr
C1293950;Silver stain method;lbpr
C1293970;Nonspecific esterase stain method;lbpr
C1293977;Gomori stain method;lbpr
C1294000;Oil red O stain method;lbpr
C1294004;Prussian blue stain method;lbpr
C1294006;Reticulin stain method;lbpr
C1294007;Rhodamine stain method;lbpr
C1294063;Abnormal blood cell count;lbpr
C1294065;Macrophage count;lbpr
C1294197;Nucleic acid sequencing;lbpr
C1294200;Gene mutation analysis;lbpr
C1294202;Gene deletion analysis;lbpr
C1294226;Helicobacter pylori culture;lbpr
C1294297;Masson trichrome stain method;lbpr
C1294313;Bacterial identification method;lbpr
C1294355;Detection of parasite;lbpr
C1294423;Allergen identification;lbpr
C1295114;Chromogranin A measurement;lbpr
C1295143;Fetal fibronectin measurement;lbpr
C1295584;Decreased cremasteric reflex;fndg
C1295607;Decreased thyroid stimulating hormone level;fndg
C1295651;Increased androgen level;fndg
C1295653;Increased testosterone level;fndg
C1295654;Decreased testosterone level;fndg
C1295655;Increased cortisol level;fndg
C1295663;Increased thyroid hormone level;fndg
C1295665;Increased thyroxine level;fndg
C1295666;Decreased thyroxine level;fndg
C1295669;Decreased triiodothyronine level;fndg
C1295676;Decreased insulin level;fndg
C1295715;Decreased fibrinogen;fndg
C1297882;Partial trisomy;cgab
C1298681;Oxalosis;dsyn
C1298685;Chronic pain syndrome;dsyn
C1298807;Acute mitral regurgitation;dsyn
C1298942;Excessive somnolence;fndg
C1299005;Post-traumatic syrinx;patf
C1299335;Normal coronary arteries;fndg
C1299346;Poststenotic dilatation;fndg
C1299399;Borderline normal;fndg
C1299448;Patient ventilated;fndg
C1299495;Clinical report;inpr
C1299496;Radiology report;inpr
C1299531;Severe bipolar disorder;mobd
C1299539;Infection of scrotum;dsyn
C1299570;Nasal sinus obstruction;dsyn
C1299574;Hyperandrogenemia;fndg
C1299581;Able;fndg
C1299582;Unable;fndg
C1299583;Independently able;fndg
C1299586;Has difficulty doing (qualifier value);fndg
C1299590;Seizure free;fndg
C1299624;Postural orthostatic tachycardia syndrome;dsyn
C1299884;Eosinophilic myositis (disorder);dsyn
C1299888;Laminitis;dsyn
C1299910;Keratouveitis;dsyn
C1299921;Equine thrush (disorder);dsyn
C1299928;Ununited anconeal process;dsyn
C1299932;Head tilt;fndg
C1299942;Upright pastern;fndg
C1299966;Ultrasound scan finding;lbtr
C1300092;Local tumor invasion;lbtr
C1300256;Thanatophoric dysplasia, type 1;dsyn
C1300257;Thanatophoric dysplasia, type 2;dsyn
C1300517;Nucleic acid hybridization procedure;lbpr
C1300569;Bagolini test;diap
C1300815;Flat tumor;fndg
C1300817;Pigmented tumor;fndg
C1300819;Hemorrhagic tumor;fndg
C1301142;WHO tumor classification;inpr
C1301317;Objective refraction;diap
C1301318;Subjective refraction;diap
C1301345;Ferruginous body;patf
C1301497;Ultrasound biomicroscopy;diap
C1301499;Mucin tear layer;fndg
C1301500;Lipid tear layer;fndg
C1301501;Aqueous tear layer;fndg
C1301502;Aqueous tear deficiency;dsyn
C1301509;Severe visual impairment;dsyn
C1301511;Mild visual impairment;dsyn
C1301515;Schirmer II test;diap
C1301527;Orbital mucormycosis;dsyn
C1301627;Format;inpr
C1301655;Minute ventilation;fndg
C1301746;Documents;inpr
C1301826;Street address;fndg
C1301937;Talipes;cgab
C1302355;Reactive gastropathy;dsyn
C1302461;Multifocal tumor;fndg
C1302690;Retinal thickening;sosy
C1302790;Congenital malformation syndrome;dsyn
C1302793;Cutaneous vascular malformation;dsyn
C1302794;Keratosis rubra pilaris;dsyn
C1302813;Fixed drug reaction;dsyn
C1302878;Contact hypersensitivity reaction;patf
C1302994;Congenital sixth nerve palsy;cgab,dsyn
C1303003;Epicanthus inversus;fndg
C1303007;Brushfield spots;fndg
C1303011;Iris transillumination;fndg
C1303073;Nicolaides-Baraitser syndrome;dsyn
C1303103;Sample analysis;lbpr
C1303139;Delayed onset of sleep;fndg
C1303156;Abnormally thin;fndg
C1303258;Acute ST segment elevation myocardial infarction (disorder);dsyn
C1304004;Pyogenic abscess;dsyn
C1304080;Allergic contact cheilitis;dsyn
C1304163;Localized granuloma annulare;dsyn
C1304164;Generalized granuloma annulare;dsyn
C1304165;Perforating granuloma annulare;dsyn
C1304166;Subcutaneous granuloma annulare;dsyn
C1304248;Tubero-eruptive xanthoma;dsyn
C1304407;Necrotizing cutaneous vasculitis;dsyn
C1304408;Urticarial vasculitis;sosy
C1304415;Pustular vasculitis;dsyn
C1304470;Generalized vitiligo;dsyn
C1304511;Glomeruloid hemangioma;dsyn
C1304680;Attack;fndg
C1304686;Finding of pH;lbtr
C1304698;Liquid (finding);fndg
C1304755;Exercise stress ECG test;diap
C1304757;Finding of protein concentration, dipstick;lbtr
C1304836;Mantoux test;diap
C1304878;Arthroscopy of knee;diap
C1305420;Prominent ear;cgab
C1305671;Cytology;lbpr
C1305852;Body measurements;fndg
C1305866;Weighing patient;diap
C1305868;Fibrinolysis, NOS;lbpr
C1306038;Pulmonary histoplasmosis;dsyn
C1306041;Complete miscarriage;patf
C1306067;Drug-induced paranoid state;mobd
C1306122;Oguchi disease;cgab,dsyn
C1306324;Emotional crisis;mobd
C1306334;Infant bottle fed (finding);fndg
C1306341;Mental handicap;mobd
C1306503;Congenital exomphalos;cgab
C1306557;Chronic venous insufficiency;dsyn
C1306571;Hepatic insufficiency, NOS;patf
C1306577;Death (finding);fndg
C1306587;Acute encephalopathy;dsyn
C1306589;Congenital dyserythropoietic anemia, type II;dsyn
C1306600;Radial nerve palsy;dsyn
C1306619;Thomas test;diap
C1306645;Plain x-ray;diap
C1306656;Cystic adventitial disease;dsyn
C1306725;Allergen specific IgE antibody measurement;lbpr
C1306759;Eosinophilic disorder;dsyn
C1306794;Wound botulism;dsyn
C1306804;Subacute lymphocytic thyroiditis;dsyn
C1306839;Pyrophosphate arthritis;dsyn
C1306856;Megaloblastic anemia due to inborn errors of metabolism;dsyn
C1306868;Lightening of fetus;fndg
C1306872;Granulocyte count below reference range;lbtr
C1306889;Peripheral arterial occlusive disease;dsyn
C1306893;Anomaly of placenta;patf
C1313904;Blood concentration;lbpr
C1313936;Malingerer;fndg
C1313947;Uncertain diagnosis;fndg
C1313952;Respiration intermittent;sosy
C1313969;Hearing difficulty;fndg
C1313977;Dental cyst;dsyn
C1313983;Acute contagious conjunctivitis;dsyn
C1314664;Dipstick assessment of hemoglobin concentration;lbpr
C1314687;Sexual intercourse - finding;fndg
C1314691;Age at menarche;fndg
C1314724;Acidotic hyperventilation;fndg
C1314734;Nonstress test;diap
C1314756;Finding of thought content;fndg
C1314759;Aroused sexually;fndg
C1317608;Perineural spread;fndg
C1317978;Serum chloride measurement;lbpr
C1318020;Stromal keratitis;dsyn
C1318147;Salicylate level;lbtr
C1318157;ALT - blood level;lbtr
C1318163;Blood hormone levels NOS;lbtr
C1318309;Core needle biopsy;diap
C1318310;Red cell mass;diap
C1318312;Serum iron measurement;lbpr
C1318404;Serum ceruloplasmin;lbtr
C1318439;Urine creatinine measurement;lbpr
C1318462;Antistreptolysin O titer;lbpr
C1318470;Phytobezoar (disorder);dsyn
C1318471;Mycology;lbpr
C1318474;Assessment of body build;diap
C1318478;Trichrome stain method;lbpr
C1318484;Chimera, NOS;cgab
C1318509;Esophagram;diap
C1318520;Necrotizing vasculitis;dsyn
C1318523;Mottled teeth, congenital;cgab
C1318533;Secondary polycythemia;dsyn
C1318710;Herpes simplex type 2 infection;dsyn
C1318711;Herpes simplex type 1 infection;dsyn
C1318746;Increased lead level;fndg
C1318793;Immunofluorescent stain method;lbpr
C1318909;Auramine stain method;lbpr
C1318963;Readiness;fndg
C1318968;Pre-op diagnosis;fndg
C1318973;Staphylococcus aureus infection;dsyn
C1319010;Intelligence quotient assessment;diap
C1319065;Castrated male;fndg
C1319072;Anal pap smear;diap
C1319127;Level of stress;fndg
C1319166;Symptom severity level;fndg
C1319171;Medication response;fndg
C1319201;Timed up and go mobility test;diap
C1319208;Ability to make coordinated movements;fndg
C1319214;Blood loss status;fndg
C1319226;Level of depression;fndg
C1319384;Upper airway resistance syndrome;dsyn
C1319750;Amylase clearance;lbpr
C1319808;Daily seizures;fndg
C1319849;Atkins diet;inpr
C1319853;Aspirin-induced asthma;dsyn
C1319927;Male-to-female transsexual (finding);fndg
C1320226;Incubation period;fndg
C1320317;African tick bite fever;dsyn
C1320396;Maternal status;fndg
C1320408;Urinary elimination status;fndg
C1320474;Nuchal rigidity;sosy
C1320537;Cardiac arrest rhythm;fndg
C1320549;Molecular genetic test;lbpr
C1320657;Diabetes type;fndg
C1320682;Excessive chewing;fndg
C1320716;Cardiovascular event;fndg
C1320717;Respiratory event;fndg
C1320718;Neurological event;fndg
C1320835;Drug-induced hyperpyrexia;patf
C1321013;Hydration status;fndg
C1321023;Bone healing status;fndg
C1321098;Human rabies;dsyn
C1321132;Spontaneous hemorrhage;fndg
C1321306;Glare disability;fndg
C1321318;Visual obscuration;fndg
C1321328;Oculomasticatory myorhythmia;fndg
C1321329;Slowed saccades;fndg
C1321406;West Nile meningitis;dsyn
C1321551;Shprintzen-Goldberg syndrome;cgab
C1321554;Bacterial shell rot;dsyn
C1321558;Ocular ischemic syndrome;dsyn
C1321580;Trichobezoar;dsyn
C1321581;Bezoar;dsyn
C1321587;Excessively deep breathing;sosy
C1321634;Punctate calcium deposition;patf
C1321756;Achalasia;dsyn
C1321771;Central venous pressure - finding;fndg
C1321798;Muscle denervation;fndg
C1321876;Human immunodeficiency virus test;lbpr
C1321884;Atresia of vagina;cgab
C1321898;Blood in stool;sosy
C1321907;Congenital absence of parathyroid gland;cgab
C1323189;Infected dermatitis;dsyn
C1328252;Mucocutaneous leishmaniasis;dsyn
C1328539;Reflex tachycardia;fndg
C1328799;Deep breathing;fndg
C1328840;Autoimmune lymphoproliferative syndrome;dsyn
C1328843;Autoimmune vasculitis;dsyn
C1330956;Base excess;lbtr
C1331016;Low income;fndg
C1331532;Fasciola hepatica infection;dsyn
C1331543;Puerperal pyrexia;patf
C1333636;Foveolar hyperplasia;patf
C1334171;Ineffective hematopoiesis;fndg
C1337035;Xanthogranulomatous cholecystitis;dsyn
C1366940;Tattoo;fndg
C1367053;Blue baby;fndg
C1368065;Vascular purpura;fndg
C1368221;Litigation;fndg
C1368920;Atypical lobular hyperplasia of breast;patf
C1368999;Aftereffect;patf
C1370824;Interstitial emphysema;dsyn
C1382398;Increased capillary permeability (finding);fndg
C1383860;Cardiac hypertrophy NOS;patf
C1384353;Parasite infestation;dsyn
C1384493;Catarrh;sosy
C1384495;Cardiovascular stress testing;diap
C1384514;Conn syndrome;dsyn
C1384583;Congenital absence of germinal epithelium of testes;dsyn
C1384584;Generalized osteoarthritis;dsyn
C1384588;Bacterial myocarditis;dsyn
C1384589;Tinea cruris;dsyn
C1384593;Digital palpation of rectum;diap
C1384594;Nephroptosis;dsyn
C1384600;Systemic onset juvenile chronic arthritis;dsyn
C1384606;Dyspareunia;fndg
C1384607;Food deprivation;fndg
C1384641;Cervical spondylosis;dsyn
C1384666;Hearing impairment;fndg
C1384670;Single umbilical artery;cgab
C1384674;Deliveries by cesarean;fndg
C1384687;Ancylostomiasis due to Ancylostoma duodenale;dsyn
C1387532;Chronic hemolytic anemia;dsyn
C1389018;Atrioventricular septal defect;cgab
C1394494;Female cystocele;dsyn
C1395852;Polydactyly of thumb;cgab
C1399207;Vegetation of heart;patf
C1399352;Paroxysmal hemicrania;dsyn
C1402288;Kidney lesion;fndg
C1403891;Meningococcal Waterhouse-Friderichsen syndrome;dsyn
C1404179;Deformity of eyelid;dsyn
C1404372;Mottling of enamel (disorder);dsyn
C1410927;Narrow angle;dsyn
C1411876;Developmental arithmetic disorder;mobd
C1412000;Mesenteric vascular insufficiency;dsyn
C1412002;Atypical pneumonia;dsyn
C1441489;Automated count;lbpr
C1441554;Direct assay;lbpr
C1441630;KOH preparation;lbpr
C1441643;Grocott methenamine silver GMS;lbpr
C1442837;Myocardial necrosis;dsyn
C1442839;Hypervitaminosis D;dsyn
C1442858;Surgical fistula;fndg
C1442861;Black eye;fndg
C1442877;Sore skin;sosy
C1442903;Exostosis NOS;patf
C1442965;Avascular necrosis of the capital femoral epiphysis;dsyn
C1442975;Psychogenic aphonia;mobd
C1442981;Alcoholic liver damage;dsyn
C1443059;Abnormal feeling;mobd
C1443086;Alertness;menp
C1443394;Vaccination status;fndg
C1443845;Hemorrhagic mediastinitis;dsyn
C1443847;Hemorrhagic meningitis;dsyn
C1443859;Acral gangrene;dsyn
C1443893;Q fever hepatitis;dsyn
C1443897;Fibrin-ring granuloma;patf
C1443924;Severe diarrhea;sosy
C1443933;Laboratory biosafety level;inpr
C1443948;Measurement of antibody using direct fluorescence;lbpr
C1443952;Asymptomatic viremia;dsyn
C1443953;Acute viral disease;dsyn
C1444007;Biphasic disease;dsyn
C1444077;Bone abscess;dsyn
C1444132;Immunochromatographic test;lbpr
C1444174;Tache noire;patf
C1444176;Rectovaginal examination;diap
C1444199;Alkaptonuric ochronosis;dsyn
C1444565;Cardiorespiratory failure;patf
C1444581;Direct ophthalmoscopy;diap
C1444627;Hutchinson's sign;dsyn
C1444647;Wanted;fndg
C1444648;Offered;fndg
C1444656;Indicated;fndg
C1444657;Contraindicated;fndg
C1444662;Discontinued;fndg
C1444674;Confrontation visual field test;diap
C1444690;Masquerade syndrome;dsyn
C1444708;Likely outcome;fndg
C1444714;Confirmed present;fndg
C1444773;Throbbing sensation quality;fndg
C1444774;Shooting sensation quality;fndg
C1444775;Sharp sensation quality;fndg
C1444776;Gnawing sensation quality;fndg
C1444777;Splitting;fndg
C1444778;Constricting sensation quality;fndg
C1444783;Instability;fndg
C1445953;Poor eye contact;fndg
C1445957;Serum total cholesterol measurement;lbpr
C1446172;Retinol binding protein measurement;lbpr
C1446219;Akinetic rigid syndrome;dsyn
C1446312;Erythematous mucosa;sosy
C1446357;Linear ulcer;patf
C1446377;Mental health problem;fndg
C1446390;Physical health problems;fndg
C1446614;Convergent gaze;fndg
C1446648;Non-specific brain syndrome;dsyn
C1446787;Cramping sensation quality;sosy
C1449563;Primary idiopathic dilated cardiomyopathy;dsyn
C1449844;Pseudohypoaldosteronism, type 2;dsyn
C1449852;Acne rosacea, erythematous telangiectatic type;dsyn
C1449854;Acne rosacea, glandular hyperplastic type;dsyn
C1455844;Audiological observations;fndg
C1456332;Stimulant abuse;mobd
C1456333;Megarectum;dsyn
C1456400;Hematocele;dsyn
C1456624;Methamphetamine abuse;mobd
C1456771;Sedative abuse;mobd
C1456784;Paranoia;mobd
C1456822;Claudication (finding);dsyn
C1456865;Ureteric calculus;dsyn
C1456868;Diabetic foot ulcer;dsyn
C1456873;alpha^+^ Thalassemia;dsyn
C1457868;Worse;fndg
C1457871;Sarcoid arthritis;dsyn
C1457887;Symptom;sosy
C1458140;Bleeding tendency;patf
C1458152;Enteric reactive arthritis;dsyn
C1504365;Hypothenar hammer syndrome;patf
C1504476;Pronator drift;patf
C1504514;Infection by human herpesvirus 7;dsyn
C1504526;Toxic conjunctivitis;dsyn
C1508749;Capillary fragility test;lbpr
C1510410;Sense of smell altered;fndg
C1510412;Pseudoaneurysm;patf
C1510416;Coffee ground vomiting;sosy
C1510428;Cerebral abscess;dsyn
C1510429;Entrapment neuropathy;dsyn
C1510431;Superficial thrombophlebitis;dsyn
C1510433;Stage IVc;inpr
C1510438;Assay;lbpr
C1510446;Acute ischemic heart disease;dsyn
C1510449;Chronic iridocyclitis;dsyn
C1510450;Dysacusis;sosy
C1510455;Acrocephalosyndactyly;cgab
C1510456;Wernicke's aphasia;mobd
C1510460;Gorlin-Psaume syndrome;cgab,dsyn
C1510471;Vitamin deficiency;dsyn
C1510472;Drug dependence, NOS;mobd
C1510475;Diverticulosis;anab,dsyn
C1510477;Endometrial biopsy;diap
C1510479;Neuralgic amyotrophy;dsyn
C1510483;Fine needle aspiration biopsy;diap
C1516728;National Cancer Institute common terminology criteria for adverse events;inpr
C1519353;Papule of skin;fndg
C1519384;History of smoking;fndg
C1522058;Coagulative necrosis;patf
C1527225;Radiation-induced disorder;dsyn
C1527231;Adrenomyeloneuropathy;dsyn
C1527281;Separation anxiety disorder of childhood;mobd
C1527287;Acanthocheilonemiasis;dsyn
C1527298;Bacillary dysentery;dsyn
C1527304;Allergic reaction;patf
C1527305;Feelings;menp
C1527306;Spasmus nutans;dsyn
C1527307;Sexual deviations or disorders;mobd
C1527311;Intracranial swelling;patf
C1527320;Aural vertigo;dsyn
C1527330;Pyridoxine deficiency;dsyn
C1527336;Sjogren's syndrome;dsyn
C1527338;Hereditary cerebral amyloid angiopathy, Icelandic type;dsyn
C1527340;Voice disturbance, NOS;dsyn
C1527344;Dysphonia;fndg
C1527347;Difficulty speaking;fndg
C1527348;Hypoxia of brain;patf
C1527358;Phototoxicity;dsyn
C1527366;Salaam attack;dsyn
C1527368;Vincent's angina NOS;dsyn
C1527383;Morphea;dsyn
C1527388;Amniotic band;cgab,dsyn
C1527395;Ogilvie's syndrome;dsyn
C1527405;Erythrocytosis;fndg
C1527407;Eosinophilic pneumonia;dsyn
C1531593;Antineutrophil antibody level;lbpr
C1531647;Cerebral ventriculomegaly;fndg
C1531687;Dilated portion of segment;patf
C1531773;Currarino triad;cgab,dsyn
C1531797;Ability to make decisions;fndg
C1532085;Hamman's sign;fndg
C1532216;Oral temperature;fndg
C1532252;Secondary restrictive cardiomyopathy;dsyn
C1532253;Sedentary lifestyle;fndg
C1532642;Dowager's hump;fndg
C1532713;Janeway lesion;fndg
C1532868;Vocal function;fndg
C1532959;White dot syndrome;dsyn
C1533020;Hispanic, white;fndg
C1533022;Histiocytic proliferation;dsyn
C1533041;Primary congenital glaucoma;cgab,dsyn
C1533053;Monovision;fndg
C1533060;Multifocal choroiditis;dsyn
C1533093;Painless rectal bleeding;fndg
C1533147;Specific imaging methods;diap
C1533582;Serum inhibin measurement;lbpr
C1533618;Fat embolism as early complication of trauma (disorder);patf
C1533688;Urine screening (procedure);lbpr
C1535926;Neurodevelopmental disorder;mobd
C1535939;Pneumocystosis;dsyn
C1535976;Epiploic appendagitis;dsyn
C1536105;CT angiography;diap
C1536114;Central pain syndrome;dsyn
C1536500;Deficiency of acetyl-CoA acetyltransferase;dsyn
C1536696;Overactivity;fndg
